run,mean_reward,std_reward,learning_rate,gamma,n_steps,ent_coef
1,110.55959539999999,3.8035636057821383,0.0007,0.99,5,0.01
2,47.1942374,6.074312759736202,0.0003,0.99,5,0.01
3,114.75593060000001,5.954574167605359,0.0007,0.95,5,0.01
4,53.3205384,4.959450505579003,0.0007,0.99,10,0.01
5,40.2840049,5.204035574236488,0.0007,0.99,20,0.01
6,116.78417950000001,4.686590571001081,0.0007,0.99,5,0.05
7,110.4949679,6.906370555752354,0.0007,0.99,5,0.0
8,114.508746,5.4108233656484295,0.001,0.99,5,0.01
9,56.7232895,7.96823474009942,0.0005,0.99,15,0.02
10,117.9933096,5.41135960608589,0.0007,0.9,5,0.01
